#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
27,Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1749746,1205229,69.1,391304.00,32.5
28,Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Anil Firojiya,Bharatiya Janta Party,1624122,1252511,77.8,365637.00,29.2
29,Tiruvannamalai,11,GEN,Tamil Nadu,Annadurai C N,Dravida Munetra Kazhagam,1431287,1151729,81.3,304187.00,26.4
30,Chikkodi,1,GEN,Karnataka,Annasaheb Shankar Jolle,Bharatiya Janta Party,1574203,1217549,78,118877.00,9.8
31,Kodarma,5,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,1765156,1209541,70.3,455600.00,37.7
32,Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,1332683,1026553,77.3,44243.00,4.3
33,Kendrapara,15,GEN,Orissa,Anubhav Mohanty,Biju Janata Dal,1658168,1236466,75,152584.00,12.3
34,Malkajgiri,7,GEN,Telangana,Anumula Revanth Reddy,Indian National Congress,2958564,1563063,53.4,10919.00,0.7
35,Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Anupriya Singh Patel,Apna Dal (Soneylal),1805890,1108965,62.3,232008.00,20.9
36,Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Anurag Sharma,Bharatiya Janta Party,2385972,1380890,58.6,365683.00,26.5
37,Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1247699,988765,79.9,399572.00,40.4
38,Bhubaneswar,18,GEN,Orissa,Aparajita Sarangi,Bharatiya Janta Party,1600900,1005215,63.2,23839.00,2.4
39,Arambagh,29,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1631133,1471981,91.5,1142.00,0.1
40,Khunti,11,ST,Jharkhand,Arjun Munda,Bharatiya Janta Party,1165658,832377,73.2,1445.00,0.2
41,Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,1793022,1099598,62.1,264081.00,24
42,Barrackpore,15,GEN,West Bengal,Arjun Singh,Bharatiya Janta Party,1551157,1104517,72,14857.00,1.3
43,Udaipur,19,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,2008400,1454518,73.8,437914.00,30.1
44,Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Arun Kumar Sagar,Bharatiya Janta Party,2013411,1186157,59.4,268418.00,22.6
45,Bilaspur,5,GEN,Chhattisgarh,Arun Sao,Bharatiya Janta Party,1811606,1209434,67,141763.00,11.7
46,Nizamabad,4,GEN,Telangana,Arvind Dharmapuri,Bharatiya Janta Party,1445388,1062768,73.7,70875.00,6.7
47,Mumbai South,31,GEN,Maharashtra,Arvind Ganpat Sawant,Shiv Sena,1537955,801611,53.1,100067.00,12.5
48,Rohtak,7,GEN,Haryana,Arvind Kumar Sharma,Bharatiya Janta Party,1638605,1220571,74.7,7503.00,0.6
49,Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,1927685,877872,45.8,282186.00,32.1
50,Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bharatiya Janta Party,1762049,1026668,58.8,100672.00,9.8
51,Madhubani,6,GEN,Bihar [2000 Onwards],Ashok Kumar Yadav,Bharatiya Janta Party,1780846,963708,54.4,454940.00,47.2
52,Gadchiroli-Chi,12,ST,Maharashtra,Ashok Mahadeorao Nete,Bharatiya Janta Party,1522662,1142698,76.7,77526.00,6.8
53,Buxar,33,GEN,Bihar [2000 Onwards],Ashwini Kumar Choubey,Bharatiya Janta Party,1806004,986861,55.6,117609.00,11.9
54,Bolpur,41,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,1864137,1461269,79.1,106402.00,7.3
55,Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Atul Kumar Singh,Bahujan Samaj Party,1945291,1140781,58.9,122568.00,10.7
56,Kurnool,18,,Andhra Pradesh [2014 Onwards],Ayushman Doctor Sanjeev Kumar,Yuvajana Sramika Rythu Congress Party,1354509,1183035,87.9,148903.00,12.6
57,Zahirabad,5,GEN,Telangana,B.B.Patil,Telangana Rashtra Samithi,1411026,1044365,74.8,6229.00,0.6
58,Chikkballapur,27,GEN,Karnataka,B.N.Bache Gowda,Bharatiya Janta Party,1804143,1386963,77.3,182110.00,13.1
59,Shimoga,14,GEN,Karnataka,B.Y.Raghavendra.,Bharatiya Janta Party,1640421,1283577,78.7,223360.00,17.4
60,Sriperumbudur,5,GEN,Tamil Nadu,Baalu.T.R.,Dravida Munetra Kazhagam,2176499,1406782,65.7,507955.00,36.1
61,Asansol,40,GEN,West Bengal,Babul Supriyo,Bharatiya Janta Party,1770467,1238135,70.8,197637.00,16
62,South Delhi,7,GEN,Delhi [1977 Onwards],Badri Narain Sinha,Bharatiya Janta Party,1752741,1214222,69.6,367043.00,30.2
63,Dhubri,4,GEN,Assam,Badruddin Ajmal,All India United Democratic Front,1799561,1685005,94.1,226258.00,13.4
64,Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Baidyanath Prasad Mahto,Janata Dal (United),1641701,1032090,65,354616.00,34.4
65,Alwar,8,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,2059180,1265674,61.7,329971.00,26.1
66,Machilipatnam,11,,Andhra Pradesh [2014 Onwards],Balashowry Vallabhaneni,Yuvajana Sramika Rythu Congress Party,1296361,1244570,97.1,60238.00,4.8
67,Tirupati,23,,Andhra Pradesh [2014 Onwards],Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,1509361,1313515,88.7,228376.00,17.4
68,Chandrapur,13,GEN,Maharashtra,Balubhau Alias Suresh Narayan Dhanorkar,Indian National Congress,1846431,1238474,67.7,44763.00,3.6
69,Karimnagar,3,GEN,Telangana,Bandi Sanjay Kumar,Bharatiya Janta Party,1544460,1147697,74.8,89508.00,7.8
70,Kolkata Uttar,24,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,1618835,950613,59.1,127095.00,13.4
71,Kalahandi,11,GEN,Orissa,Basanta Kumar Panda,Bharatiya Janta Party,1563160,1228292,79.9,26814.00,2.2
72,Vizianagaram,3,,Andhra Pradesh [2014 Onwards],Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,1380455,1217890,90.4,48036.00,3.9
73,Chalakudy,11,GEN,Kerala,Benny Behanan,Indian National Congress,1163476,990224,85.8,132274.00,13.4
74,Ajmer,13,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,1844532,1262214,69,416424.00,33
75,Sangrur,12,GEN,Punjab,Bhagwant Mann,Aam Aadmi Party,1501950,1105888,74.1,110211.00,10
